"","fcast","h"
"1",38,1
"2",53,1
"3",96,1
"4",85,1
"5",85,1
"6",69,1
"7",44,1
"8",46,1
"9",43,1
"10",56,1
"11",33,1
"12",23,1
"13",17,1
"14",10,1
"15",9,1
"16",6,1
"17",7,1
"18",8,1
"19",18,1
"20",15,1
"21",10,1
"22",12,1
"23",10,1
"24",57,2
"25",76,2
"26",85,2
"27",77,2
"28",55,2
"29",49,2
"30",48,2
"31",37,2
"32",26,2
"33",18,2
"34",14,2
"35",8,2
"36",6,2
"37",6,2
"38",6,2
"39",7,2
"40",13,2
"41",11,2
"42",6,2
"43",7,2
"44",10,2
"45",12,2
"46",10,2
"47",85,3
"48",74,3
"49",55,3
"50",51,3
"51",46,3
"52",35,3
"53",24,3
"54",18,3
"55",12,3
"56",7,3
"57",6,3
"58",6,3
"59",6,3
"60",8,3
"61",12,3
"62",10,3
"63",6,3
"64",6,3
"65",10,3
"66",11,3
"67",11,3
"68",15,3
"69",15,3
"70",247,4
"71",201,4
"72",133,4
"73",124,4
"74",52,4
"75",65,4
"76",34,4
"77",36,4
"78",10,4
"79",9,4
"80",14,4
"81",6,4
"82",15,4
"83",9,4
"84",7,4
"85",4,4
"86",9,4
"87",7,4
"88",14,4
"89",9,4
"90",9,4
"91",13,4
"92",20,4
