"","fcast","h"
"1",0,1
"2",2,1
"3",5,1
"4",5,1
"5",5,1
"6",5,1
"7",6,1
"8",5,1
"9",5,1
"10",5,1
"11",5,1
"12",5,1
"13",5,1
"14",1,1
"15",0,1
"16",0,1
"17",0,1
"18",0,1
"19",1,1
"20",0,1
"21",0,1
"22",0,1
"23",0,1
"24",6,2
"25",6,2
"26",6,2
"27",6,2
"28",7,2
"29",6,2
"30",6,2
"31",6,2
"32",6,2
"33",6,2
"34",5,2
"35",2,2
"36",0,2
"37",0,2
"38",0,2
"39",0,2
"40",0,2
"41",0,2
"42",0,2
"43",0,2
"44",0,2
"45",0,2
"46",0,2
"47",6,3
"48",7,3
"49",7,3
"50",6,3
"51",6,3
"52",6,3
"53",6,3
"54",6,3
"55",4,3
"56",1,3
"57",0,3
"58",0,3
"59",0,3
"60",1,3
"61",1,3
"62",0,3
"63",0,3
"64",0,3
"65",0,3
"66",0,3
"67",1,3
"68",3,3
"69",4,3
"70",24,4
"71",27,4
"72",18,4
"73",18,4
"74",27,4
"75",16,4
"76",14,4
"77",15,4
"78",11,4
"79",6,4
"80",4,4
"81",6,4
"82",4,4
"83",3,4
"84",2,4
"85",4,4
"86",1,4
"87",1,4
"88",2,4
"89",4,4
"90",1,4
"91",2,4
"92",9,4
