"","fcast","h"
"1",382,1
"2",1006,1
"3",773,1
"4",803,1
"5",584,1
"6",455,1
"7",293,1
"8",211,1
"9",160,1
"10",138,1
"11",102,1
"12",79,1
"13",53,1
"14",58,1
"15",55,1
"16",48,1
"17",102,1
"18",73,1
"19",61,1
"20",132,1
"21",59,1
"22",64,1
"23",60,1
"24",808,2
"25",815,2
"26",653,2
"27",512,2
"28",369,2
"29",239,2
"30",181,2
"31",145,2
"32",116,2
"33",89,2
"34",66,2
"35",61,2
"36",60,2
"37",58,2
"38",62,2
"39",64,2
"40",62,2
"41",60,2
"42",58,2
"43",57,2
"44",55,2
"45",61,2
"46",64,2
"47",638,3
"48",492,3
"49",340,3
"50",227,3
"51",175,3
"52",139,3
"53",111,3
"54",84,3
"55",65,3
"56",60,3
"57",60,3
"58",59,3
"59",62,3
"60",66,3
"61",62,3
"62",60,3
"63",59,3
"64",56,3
"65",55,3
"66",61,3
"67",65,3
"68",65,3
"69",68,3
"70",1096,4
"71",778,4
"72",531,4
"73",279,4
"74",260,4
"75",199,4
"76",167,4
"77",151,4
"78",84,4
"79",97,4
"80",77,4
"81",81,4
"82",63,4
"83",53,4
"84",55,4
"85",50,4
"86",78,4
"87",47,4
"88",51,4
"89",61,4
"90",171,4
"91",79,4
"92",88,4
