"","fcast","h","date"
"1",22,1,2020-05-11
"2",68,1,2020-05-18
"3",94,1,2020-05-25
"4",83,1,2020-06-01
"5",77,1,2020-06-08
"6",56,1,2020-06-15
"7",62,1,2020-06-22
"8",91,1,2020-06-29
"9",126,1,2020-07-06
"10",117,1,2020-07-13
"11",172,1,2020-07-20
"12",171,1,2020-07-27
"13",209,1,2020-08-03
"14",329,1,2020-08-10
"15",526,1,2020-08-17
"16",678,1,2020-08-24
"17",814,1,2020-08-31
"18",845,1,2020-09-07
"19",790,1,2020-09-14
"20",627,1,2020-09-21
"21",469,1,2020-09-28
"22",418,1,2020-10-05
"23",410,1,2020-10-12
"24",93,2,2020-05-11
"25",94,2,2020-05-18
"26",81,2,2020-05-25
"27",66,2,2020-06-01
"28",59,2,2020-06-08
"29",60,2,2020-06-15
"30",64,2,2020-06-22
"31",66,2,2020-06-29
"32",76,2,2020-07-06
"33",106,2,2020-07-13
"34",179,2,2020-07-20
"35",325,2,2020-07-27
"36",567,2,2020-08-03
"37",770,2,2020-08-10
"38",944,2,2020-08-17
"39",1009,2,2020-08-24
"40",924,2,2020-08-31
"41",748,2,2020-09-07
"42",596,2,2020-09-14
"43",482,2,2020-09-21
"44",339,2,2020-09-28
"45",304,2,2020-10-05
"46",285,2,2020-10-12
"47",78,3,2020-05-11
"48",63,3,2020-05-18
"49",57,3,2020-05-25
"50",59,3,2020-06-01
"51",66,3,2020-06-08
"52",67,3,2020-06-15
"53",78,3,2020-06-22
"54",114,3,2020-06-29
"55",195,3,2020-07-06
"56",364,3,2020-07-13
"57",611,3,2020-07-20
"58",798,3,2020-07-27
"59",958,3,2020-08-03
"60",1003,3,2020-08-10
"61",905,3,2020-08-17
"62",721,3,2020-08-24
"63",580,3,2020-08-31
"64",461,3,2020-09-07
"65",327,3,2020-09-14
"66",301,3,2020-09-21
"67",272,3,2020-09-28
"68",240,3,2020-10-05
"69",245,3,2020-10-12
"70",207,4,2020-05-11
"71",155,4,2020-05-18
"72",166,4,2020-05-25
"73",111,4,2020-06-01
"74",182,4,2020-06-08
"75",176,4,2020-06-15
"76",205,4,2020-06-22
"77",289,4,2020-06-29
"78",414,4,2020-07-06
"79",589,4,2020-07-13
"80",794,4,2020-07-20
"81",885,4,2020-07-27
"82",1024,4,2020-08-03
"83",979,4,2020-08-10
"84",964,4,2020-08-17
"85",725,4,2020-08-24
"86",593,4,2020-08-31
"87",524,4,2020-09-07
"88",442,4,2020-09-14
"89",463,4,2020-09-21
"90",455,4,2020-09-28
"91",423,4,2020-10-05
"92",229,4,2020-10-12
