"","fcast","h","date"
"1",10,1,2020-05-11
"2",0,1,2020-05-18
"3",6,1,2020-05-25
"4",5,1,2020-06-01
"5",11,1,2020-06-08
"6",25,1,2020-06-15
"7",33,1,2020-06-22
"8",28,1,2020-06-29
"9",23,1,2020-07-06
"10",25,1,2020-07-13
"11",34,1,2020-07-20
"12",17,1,2020-07-27
"13",10,1,2020-08-03
"14",15,1,2020-08-10
"15",12,1,2020-08-17
"16",17,1,2020-08-24
"17",21,1,2020-08-31
"18",18,1,2020-09-07
"19",24,1,2020-09-14
"20",33,1,2020-09-21
"21",24,1,2020-09-28
"22",22,1,2020-10-05
"23",18,1,2020-10-12
"24",4,2,2020-05-11
"25",6,2,2020-05-18
"26",10,2,2020-05-25
"27",24,2,2020-06-01
"28",33,2,2020-06-08
"29",31,2,2020-06-15
"30",26,2,2020-06-22
"31",25,2,2020-06-29
"32",24,2,2020-07-06
"33",19,2,2020-07-13
"34",13,2,2020-07-20
"35",12,2,2020-07-27
"36",12,2,2020-08-03
"37",13,2,2020-08-10
"38",16,2,2020-08-17
"39",20,2,2020-08-24
"40",24,2,2020-08-31
"41",25,2,2020-09-07
"42",24,2,2020-09-14
"43",23,2,2020-09-21
"44",23,2,2020-09-28
"45",27,2,2020-10-05
"46",26,2,2020-10-12
"47",13,3,2020-05-11
"48",24,3,2020-05-18
"49",33,3,2020-05-25
"50",30,3,2020-06-01
"51",26,3,2020-06-08
"52",24,3,2020-06-15
"53",23,3,2020-06-22
"54",18,3,2020-06-29
"55",12,3,2020-07-06
"56",12,3,2020-07-13
"57",12,3,2020-07-20
"58",14,3,2020-07-27
"59",17,3,2020-08-03
"60",20,3,2020-08-10
"61",25,3,2020-08-17
"62",25,3,2020-08-24
"63",24,3,2020-08-31
"64",22,3,2020-09-07
"65",22,3,2020-09-14
"66",27,3,2020-09-21
"67",29,3,2020-09-28
"68",32,3,2020-10-05
"69",34,3,2020-10-12
"70",20,4,2020-05-11
"71",29,4,2020-05-18
"72",22,4,2020-05-25
"73",19,4,2020-06-01
"74",16,4,2020-06-08
"75",21,4,2020-06-15
"76",24,4,2020-06-22
"77",18,4,2020-06-29
"78",16,4,2020-07-06
"79",6,4,2020-07-13
"80",12,4,2020-07-20
"81",7,4,2020-07-27
"82",21,4,2020-08-03
"83",22,4,2020-08-10
"84",17,4,2020-08-17
"85",23,4,2020-08-24
"86",12,4,2020-08-31
"87",16,4,2020-09-07
"88",26,4,2020-09-14
"89",19,4,2020-09-21
"90",32,4,2020-09-28
"91",34,4,2020-10-05
"92",43,4,2020-10-12
