"","fcast","h"
"1",8,1
"2",18,1
"3",6,1
"4",16,1
"5",11,1
"6",18,1
"7",12,1
"8",16,1
"9",24,1
"10",16,1
"11",14,1
"12",27,1
"13",15,1
"14",16,1
"15",25,1
"16",34,1
"17",38,1
"18",39,1
"19",47,1
"20",43,1
"21",48,1
"22",50,1
"23",59,1
"24",7,2
"25",11,2
"26",13,2
"27",13,2
"28",15,2
"29",17,2
"30",14,2
"31",13,2
"32",17,2
"33",18,2
"34",15,2
"35",17,2
"36",18,2
"37",24,2
"38",35,2
"39",47,2
"40",53,2
"41",51,2
"42",51,2
"43",52,2
"44",54,2
"45",60,2
"46",56,2
"47",13,3
"48",13,3
"49",15,3
"50",16,3
"51",14,3
"52",13,3
"53",18,3
"54",17,3
"55",16,3
"56",17,3
"57",18,3
"58",26,3
"59",38,3
"60",48,3
"61",54,3
"62",50,3
"63",52,3
"64",53,3
"65",55,3
"66",61,3
"67",57,3
"68",56,3
"69",60,3
"70",35,4
"71",25,4
"72",39,4
"73",24,4
"74",20,4
"75",22,4
"76",15,4
"77",29,4
"78",21,4
"79",28,4
"80",38,4
"81",35,4
"82",46,4
"83",41,4
"84",43,4
"85",56,4
"86",51,4
"87",64,4
"88",52,4
"89",50,4
"90",51,4
"91",55,4
"92",62,4
