"","fcast","h","date"
"1",20,1,2020-05-11
"2",81,1,2020-05-18
"3",113,1,2020-05-25
"4",108,1,2020-06-01
"5",90,1,2020-06-08
"6",66,1,2020-06-15
"7",58,1,2020-06-22
"8",43,1,2020-06-29
"9",49,1,2020-07-06
"10",38,1,2020-07-13
"11",35,1,2020-07-20
"12",26,1,2020-07-27
"13",25,1,2020-08-03
"14",32,1,2020-08-10
"15",25,1,2020-08-17
"16",37,1,2020-08-24
"17",47,1,2020-08-31
"18",59,1,2020-09-07
"19",61,1,2020-09-14
"20",67,1,2020-09-21
"21",58,1,2020-09-28
"22",67,1,2020-10-05
"23",55,1,2020-10-12
"24",126,2,2020-05-11
"25",113,2,2020-05-18
"26",88,2,2020-05-25
"27",79,2,2020-06-01
"28",66,2,2020-06-08
"29",54,2,2020-06-15
"30",51,2,2020-06-22
"31",41,2,2020-06-29
"32",35,2,2020-07-06
"33",23,2,2020-07-13
"34",17,2,2020-07-20
"35",23,2,2020-07-27
"36",31,2,2020-08-03
"37",41,2,2020-08-10
"38",55,2,2020-08-17
"39",60,2,2020-08-24
"40",65,2,2020-08-31
"41",65,2,2020-09-07
"42",62,2,2020-09-14
"43",60,2,2020-09-21
"44",62,2,2020-09-28
"45",67,2,2020-10-05
"46",64,2,2020-10-12
"47",86,3,2020-05-11
"48",78,3,2020-05-18
"49",63,3,2020-05-25
"50",54,3,2020-06-01
"51",53,3,2020-06-08
"52",41,3,2020-06-15
"53",33,3,2020-06-22
"54",22,3,2020-06-29
"55",17,3,2020-07-06
"56",25,3,2020-07-13
"57",32,3,2020-07-20
"58",43,3,2020-07-27
"59",56,3,2020-08-03
"60",62,3,2020-08-10
"61",64,3,2020-08-17
"62",64,3,2020-08-24
"63",63,3,2020-08-31
"64",60,3,2020-09-07
"65",63,3,2020-09-14
"66",66,3,2020-09-21
"67",70,3,2020-09-28
"68",71,3,2020-10-05
"69",69,3,2020-10-12
"70",241,4,2020-05-11
"71",215,4,2020-05-18
"72",225,4,2020-05-25
"73",142,4,2020-06-01
"74",110,4,2020-06-08
"75",47,4,2020-06-15
"76",47,4,2020-06-22
"77",44,4,2020-06-29
"78",59,4,2020-07-06
"79",80,4,2020-07-13
"80",44,4,2020-07-20
"81",48,4,2020-07-27
"82",59,4,2020-08-03
"83",51,4,2020-08-10
"84",60,4,2020-08-17
"85",69,4,2020-08-24
"86",75,4,2020-08-31
"87",63,4,2020-09-07
"88",69,4,2020-09-14
"89",62,4,2020-09-21
"90",71,4,2020-09-28
"91",82,4,2020-10-05
"92",96,4,2020-10-12
