"","fcast","h"
"1",19,1
"2",26,1
"3",23,1
"4",19,1
"5",18,1
"6",17,1
"7",21,1
"8",17,1
"9",11,1
"10",27,1
"11",17,1
"12",33,1
"13",20,1
"14",34,1
"15",63,1
"16",38,1
"17",61,1
"18",67,1
"19",111,1
"20",117,1
"21",83,1
"22",90,1
"23",109,1
"24",21,2
"25",21,2
"26",18,2
"27",18,2
"28",20,2
"29",17,2
"30",13,2
"31",16,2
"32",19,2
"33",18,2
"34",18,2
"35",27,2
"36",35,2
"37",44,2
"38",56,2
"39",79,2
"40",117,2
"41",118,2
"42",99,2
"43",104,2
"44",102,2
"45",113,2
"46",122,2
"47",18,3
"48",18,3
"49",19,3
"50",16,3
"51",13,3
"52",16,3
"53",19,3
"54",18,3
"55",20,3
"56",28,3
"57",35,3
"58",45,3
"59",58,3
"60",87,3
"61",122,3
"62",113,3
"63",100,3
"64",104,3
"65",103,3
"66",115,3
"67",122,3
"68",128,3
"69",134,3
"70",74,4
"71",46,4
"72",39,4
"73",29,4
"74",31,4
"75",31,4
"76",42,4
"77",32,4
"78",30,4
"79",50,4
"80",47,4
"81",67,4
"82",83,4
"83",91,4
"84",68,4
"85",74,4
"86",97,4
"87",125,4
"88",79,4
"89",106,4
"90",173,4
"91",126,4
"92",124,4
