"","fcast","h"
"1",17,1
"2",21,1
"3",20,1
"4",18,1
"5",21,1
"6",38,1
"7",35,1
"8",37,1
"9",38,1
"10",46,1
"11",39,1
"12",58,1
"13",69,1
"14",68,1
"15",97,1
"16",145,1
"17",138,1
"18",174,1
"19",188,1
"20",173,1
"21",140,1
"22",129,1
"23",123,1
"24",24,2
"25",21,2
"26",24,2
"27",32,2
"28",39,2
"29",33,2
"30",31,2
"31",34,2
"32",41,2
"33",45,2
"34",51,2
"35",63,2
"36",92,2
"37",129,2
"38",161,2
"39",192,2
"40",204,2
"41",190,2
"42",159,2
"43",142,2
"44",130,2
"45",129,2
"46",125,2
"47",25,3
"48",37,3
"49",36,3
"50",31,3
"51",32,3
"52",34,3
"53",42,3
"54",46,3
"55",54,3
"56",67,3
"57",99,3
"58",135,3
"59",168,3
"60",195,3
"61",204,3
"62",186,3
"63",156,3
"64",139,3
"65",130,3
"66",131,3
"67",121,3
"68",124,3
"69",129,3
"70",35,4
"71",42,4
"72",32,4
"73",29,4
"74",50,4
"75",56,4
"76",48,4
"77",58,4
"78",67,4
"79",107,4
"80",125,4
"81",157,4
"82",148,4
"83",160,4
"84",160,4
"85",164,4
"86",157,4
"87",125,4
"88",162,4
"89",126,4
"90",141,4
"91",154,4
"92",125,4
