"","fcast","h"
"1",5,1
"2",8,1
"3",16,1
"4",16,1
"5",36,1
"6",20,1
"7",66,1
"8",40,1
"9",23,1
"10",21,1
"11",27,1
"12",25,1
"13",30,1
"14",41,1
"15",62,1
"16",59,1
"17",88,1
"18",79,1
"19",106,1
"20",84,1
"21",65,1
"22",54,1
"23",82,1
"24",12,2
"25",16,2
"26",19,2
"27",21,2
"28",23,2
"29",23,2
"30",23,2
"31",26,2
"32",26,2
"33",27,2
"34",26,2
"35",37,2
"36",58,2
"37",61,2
"38",72,2
"39",95,2
"40",115,2
"41",102,2
"42",79,2
"43",68,2
"44",68,2
"45",60,2
"46",52,2
"47",19,3
"48",21,3
"49",23,3
"50",23,3
"51",24,3
"52",27,3
"53",27,3
"54",27,3
"55",25,3
"56",40,3
"57",59,3
"58",64,3
"59",75,3
"60",100,3
"61",114,3
"62",100,3
"63",77,3
"64",68,3
"65",68,3
"66",61,3
"67",48,3
"68",42,3
"69",43,3
"70",80,4
"71",63,4
"72",73,4
"73",63,4
"74",66,4
"75",41,4
"76",48,4
"77",45,4
"78",59,4
"79",117,4
"80",90,4
"81",119,4
"82",166,4
"83",159,4
"84",133,4
"85",112,4
"86",162,4
"87",88,4
"88",68,4
"89",80,4
"90",94,4
"91",87,4
"92",54,4
