"","fcast","h"
"1",22,1
"2",68,1
"3",94,1
"4",83,1
"5",77,1
"6",56,1
"7",62,1
"8",91,1
"9",126,1
"10",117,1
"11",172,1
"12",171,1
"13",209,1
"14",329,1
"15",526,1
"16",678,1
"17",814,1
"18",845,1
"19",790,1
"20",627,1
"21",469,1
"22",418,1
"23",410,1
"24",93,2
"25",94,2
"26",81,2
"27",66,2
"28",59,2
"29",60,2
"30",64,2
"31",66,2
"32",76,2
"33",106,2
"34",179,2
"35",325,2
"36",567,2
"37",770,2
"38",944,2
"39",1009,2
"40",924,2
"41",748,2
"42",596,2
"43",482,2
"44",339,2
"45",304,2
"46",285,2
"47",78,3
"48",63,3
"49",57,3
"50",59,3
"51",66,3
"52",67,3
"53",78,3
"54",114,3
"55",195,3
"56",364,3
"57",611,3
"58",798,3
"59",958,3
"60",1003,3
"61",905,3
"62",721,3
"63",580,3
"64",461,3
"65",327,3
"66",301,3
"67",272,3
"68",240,3
"69",245,3
"70",207,4
"71",155,4
"72",166,4
"73",111,4
"74",182,4
"75",176,4
"76",205,4
"77",289,4
"78",414,4
"79",589,4
"80",794,4
"81",885,4
"82",1024,4
"83",979,4
"84",964,4
"85",725,4
"86",593,4
"87",524,4
"88",442,4
"89",463,4
"90",455,4
"91",423,4
"92",229,4
