"","fcast","h"
"1",2,1
"2",6,1
"3",9,1
"4",7,1
"5",13,1
"6",16,1
"7",11,1
"8",13,1
"9",18,1
"10",13,1
"11",21,1
"12",33,1
"13",28,1
"14",44,1
"15",41,1
"16",47,1
"17",48,1
"18",47,1
"19",43,1
"20",37,1
"21",31,1
"22",34,1
"23",35,1
"24",10,2
"25",11,2
"26",11,2
"27",12,2
"28",12,2
"29",12,2
"30",13,2
"31",14,2
"32",20,2
"33",28,2
"34",33,2
"35",40,2
"36",46,2
"37",51,2
"38",56,2
"39",56,2
"40",50,2
"41",42,2
"42",37,2
"43",33,2
"44",32,2
"45",34,2
"46",37,2
"47",11,3
"48",12,3
"49",12,3
"50",12,3
"51",13,3
"52",14,3
"53",22,3
"54",29,3
"55",33,3
"56",41,3
"57",47,3
"58",51,3
"59",57,3
"60",55,3
"61",48,3
"62",42,3
"63",36,3
"64",32,3
"65",33,3
"66",36,3
"67",38,3
"68",54,3
"69",68,3
"70",18,4
"71",15,4
"72",19,4
"73",15,4
"74",12,4
"75",21,4
"76",21,4
"77",26,4
"78",31,4
"79",37,4
"80",47,4
"81",40,4
"82",40,4
"83",33,4
"84",29,4
"85",26,4
"86",27,4
"87",23,4
"88",24,4
"89",22,4
"90",41,4
"91",55,4
"92",79,4
