"","fcast","h","date"
"1",77,1,2020-05-11
"2",89,1,2020-05-18
"3",102,1,2020-05-25
"4",131,1,2020-06-01
"5",128,1,2020-06-08
"6",131,1,2020-06-15
"7",184,1,2020-06-22
"8",206,1,2020-06-29
"9",231,1,2020-07-06
"10",215,1,2020-07-13
"11",267,1,2020-07-20
"12",268,1,2020-07-27
"13",281,1,2020-08-03
"14",429,1,2020-08-10
"15",517,1,2020-08-17
"16",647,1,2020-08-24
"17",764,1,2020-08-31
"18",742,1,2020-09-07
"19",770,1,2020-09-14
"20",637,1,2020-09-21
"21",608,1,2020-09-28
"22",666,1,2020-10-05
"23",568,1,2020-10-12
"24",107,2,2020-05-11
"25",109,2,2020-05-18
"26",128,2,2020-05-25
"27",146,2,2020-06-01
"28",149,2,2020-06-08
"29",159,2,2020-06-15
"30",167,2,2020-06-22
"31",192,2,2020-06-29
"32",225,2,2020-07-06
"33",254,2,2020-07-13
"34",291,2,2020-07-20
"35",383,2,2020-07-27
"36",511,2,2020-08-03
"37",663,2,2020-08-10
"38",786,2,2020-08-17
"39",826,2,2020-08-24
"40",819,2,2020-08-31
"41",706,2,2020-09-07
"42",703,2,2020-09-14
"43",722,2,2020-09-21
"44",568,2,2020-09-28
"45",465,2,2020-10-05
"46",393,2,2020-10-12
"47",132,3,2020-05-11
"48",147,3,2020-05-18
"49",152,3,2020-05-25
"50",162,3,2020-06-01
"51",169,3,2020-06-08
"52",198,3,2020-06-15
"53",231,3,2020-06-22
"54",258,3,2020-06-29
"55",301,3,2020-07-06
"56",399,3,2020-07-13
"57",526,3,2020-07-20
"58",687,3,2020-07-27
"59",798,3,2020-08-03
"60",828,3,2020-08-10
"61",812,3,2020-08-17
"62",702,3,2020-08-24
"63",716,3,2020-08-31
"64",709,3,2020-09-07
"65",549,3,2020-09-14
"66",455,3,2020-09-21
"67",364,3,2020-09-28
"68",311,3,2020-10-05
"69",314,3,2020-10-12
"70",324,4,2020-05-11
"71",334,4,2020-05-18
"72",355,4,2020-05-25
"73",280,4,2020-06-01
"74",338,4,2020-06-08
"75",356,4,2020-06-15
"76",360,4,2020-06-22
"77",350,4,2020-06-29
"78",446,4,2020-07-06
"79",612,4,2020-07-13
"80",741,4,2020-07-20
"81",722,4,2020-07-27
"82",883,4,2020-08-03
"83",916,4,2020-08-10
"84",631,4,2020-08-17
"85",872,4,2020-08-24
"86",658,4,2020-08-31
"87",579,4,2020-09-07
"88",482,4,2020-09-14
"89",493,4,2020-09-21
"90",461,4,2020-09-28
"91",456,4,2020-10-05
"92",323,4,2020-10-12
