"","fcast","h"
"1",0,1
"2",0,1
"3",2,1
"4",7,1
"5",8,1
"6",5,1
"7",5,1
"8",8,1
"9",5,1
"10",5,1
"11",5,1
"12",5,1
"13",5,1
"14",5,1
"15",5,1
"16",5,1
"17",6,1
"18",5,1
"19",5,1
"20",5,1
"21",6,1
"22",8,1
"23",25,1
"24",2,2
"25",9,2
"26",10,2
"27",6,2
"28",7,2
"29",9,2
"30",7,2
"31",6,2
"32",6,2
"33",6,2
"34",6,2
"35",6,2
"36",6,2
"37",6,2
"38",6,2
"39",6,2
"40",6,2
"41",6,2
"42",6,2
"43",9,2
"44",16,2
"45",24,2
"46",23,2
"47",9,3
"48",6,3
"49",7,3
"50",9,3
"51",7,3
"52",6,3
"53",6,3
"54",6,3
"55",6,3
"56",6,3
"57",6,3
"58",6,3
"59",6,3
"60",6,3
"61",6,3
"62",6,3
"63",7,3
"64",10,3
"65",17,3
"66",25,3
"67",22,3
"68",23,3
"69",26,3
"70",10,4
"71",12,4
"72",5,4
"73",8,4
"74",3,4
"75",8,4
"76",6,4
"77",8,4
"78",5,4
"79",9,4
"80",6,4
"81",5,4
"82",9,4
"83",8,4
"84",7,4
"85",7,4
"86",10,4
"87",14,4
"88",16,4
"89",18,4
"90",18,4
"91",30,4
"92",29,4
