"","fcast","h"
"1",5,1
"2",8,1
"3",6,1
"4",6,1
"5",10,1
"6",15,1
"7",7,1
"8",7,1
"9",14,1
"10",15,1
"11",25,1
"12",33,1
"13",44,1
"14",46,1
"15",47,1
"16",49,1
"17",59,1
"18",67,1
"19",67,1
"20",72,1
"21",74,1
"22",58,1
"23",51,1
"24",6,2
"25",6,2
"26",9,2
"27",10,2
"28",7,2
"29",8,2
"30",12,2
"31",15,2
"32",20,2
"33",30,2
"34",38,2
"35",46,2
"36",52,2
"37",51,2
"38",58,2
"39",65,2
"40",68,2
"41",69,2
"42",63,2
"43",51,2
"44",50,2
"45",53,2
"46",54,2
"47",11,3
"48",12,3
"49",6,3
"50",9,3
"51",13,3
"52",15,3
"53",21,3
"54",31,3
"55",38,3
"56",45,3
"57",51,3
"58",54,3
"59",61,3
"60",65,3
"61",69,3
"62",68,3
"63",62,3
"64",48,3
"65",52,3
"66",55,3
"67",57,3
"68",68,3
"69",74,3
"70",10,4
"71",6,4
"72",12,4
"73",15,4
"74",17,4
"75",27,4
"76",40,4
"77",43,4
"78",40,4
"79",43,4
"80",48,4
"81",54,4
"82",71,4
"83",72,4
"84",59,4
"85",70,4
"86",73,4
"87",77,4
"88",65,4
"89",231,4
"90",89,4
"91",90,4
"92",88,4
