quantile,value,type,location,target,forecast_date,target_end_date
0.600,493,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.650,540,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.700,606,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.750,703,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.800,794,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.850,891,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.900,1020,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.950,1199,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.975,1361,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.990,1642,quantile,05,4 wk ahead inc death,2020-12-06,2021-01-02
0.010,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.025,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.050,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.100,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.150,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.200,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.250,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.300,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.350,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.400,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.450,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.500,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
,0,point,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.550,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.600,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.650,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.700,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.750,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.800,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.850,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.900,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.950,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.975,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.990,0,quantile,60,1 wk ahead inc death,2020-12-06,2020-12-12
0.010,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.025,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.050,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.100,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.150,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.200,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.250,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.300,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.350,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.400,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.450,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.500,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
,0,point,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.550,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.600,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.650,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.700,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.750,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.800,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.850,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.900,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.950,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.975,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.990,0,quantile,60,2 wk ahead inc death,2020-12-06,2020-12-19
0.010,0,quantile,60,3 wk ahead inc death,2020-12-06,2020-12-26
0.025,0,quantile,60,3 wk ahead inc death,2020-12-06,2020-12-26
0.050,0,quantile,60,3 wk ahead inc death,2020-12-06,2020-12-26
0.100,0,quantile,60,3 wk ahead inc death,2020-12-06,2020-12-26
0.150,0,quantile,60,3 wk ahead inc death,2020-12-06,2020-12-26
0.200,0,quantile,60,3 wk ahead inc death,2020-12-06,2020-12-26
0.250,0,quantile,60,3 wk ahead inc death,2020-12-06,2020-12-26
