quantile,value,type,location,target,forecast_date,target_end_date
0.300,16,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.350,17,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.400,18,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.450,19,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.500,20,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
,20,point,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.550,22,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.600,23,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.650,24,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.700,25,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.750,27,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.800,29,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.850,32,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.900,35,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.950,39,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.975,45,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.990,48,quantile,02,1 wk ahead inc death,2020-12-06,2020-12-12
0.010,7,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.025,9,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.050,11,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.100,13,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.150,14,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.200,15,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.250,17,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.300,18,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.350,19,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.400,21,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.450,22,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.500,24,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
,24,point,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.550,25,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.600,27,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.650,28,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.700,30,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.750,32,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.800,35,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.850,37,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.900,40,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.950,46,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.975,49,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.990,59,quantile,02,2 wk ahead inc death,2020-12-06,2020-12-19
0.010,8,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.025,9,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.050,11,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.100,13,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.150,15,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.200,17,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.250,19,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.300,20,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.350,21,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.400,23,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.450,24,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.500,26,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
,26,point,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.550,27,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.600,29,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.650,31,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.700,33,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.750,35,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.800,38,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.850,42,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.900,46,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.950,53,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.975,60,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.990,70,quantile,02,3 wk ahead inc death,2020-12-06,2020-12-26
0.010,8,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.025,9,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.050,11,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.100,14,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.150,17,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.200,19,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.250,20,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.300,22,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.350,24,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.400,26,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.450,28,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.500,30,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
,30,point,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.550,33,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.600,36,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.650,38,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.700,41,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.750,45,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.800,49,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.850,53,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.900,61,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.950,72,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.975,82,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.990,97,quantile,02,4 wk ahead inc death,2020-12-06,2021-01-02
0.010,90,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.025,99,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.050,117,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.100,135,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.150,148,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.200,162,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.250,172,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.300,186,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.350,197,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.400,209,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.450,219,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.500,230,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
,230,point,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.550,244,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.600,259,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.650,273,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.700,287,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.750,301,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.800,317,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.850,339,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.900,370,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.950,421,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.975,453,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.990,495,quantile,01,1 wk ahead inc death,2020-12-06,2020-12-12
0.010,84,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.025,108,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
0.050,122,quantile,01,2 wk ahead inc death,2020-12-06,2020-12-19
